"PeopleInHousehold","Region","State","MetroAreaCode","Age","Married","Sex","Education","Race","Hispanic","CountryOfBirthCode","Citizenship","EmploymentStatus","Industry"
4,"South","Alabama",33860,37,"Divorced","Male","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
4,"South","Alabama",33860,42,"Never Married","Male","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Information"
2,"South","Alabama",33860,73,"Widowed","Female","Master's degree","Black",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,42,"Never Married","Male","Associate degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
1,"South","Alabama",13820,22,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
1,"South","Alabama",33660,28,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Construction"
2,"South","Alabama",33860,74,"Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33860,75,"Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
4,"South","Alabama",33660,66,"Married","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
4,"South","Alabama",33660,80,"Married","Male","High school","Black",0,57,"Citizen, Native","Retired",NA
4,"South","Alabama",33660,14,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",33660,40,"Divorced","Female","Some college, no degree","Black",0,57,"Citizen, Native","Disabled",NA
5,"South","Alabama",13820,65,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Not in Labor Force",NA
5,"South","Alabama",13820,63,"Married","Female","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
5,"South","Alabama",13820,30,"Never Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Financial"
5,"South","Alabama",13820,38,"Never Married","Male","Bachelor's degree","Black",0,57,"Citizen, Native","Not in Labor Force",NA
5,"South","Alabama",13820,85,"Never Married","Female","Bachelor's degree","Black",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",26620,68,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",26620,66,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",13820,29,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",13820,40,"Divorced","Female","Bachelor's degree","White",0,57,"Citizen, Native","Unemployed","Educational and health services"
3,"South","Alabama",33660,30,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Trade"
3,"South","Alabama",33660,29,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Trade"
3,"South","Alabama",33660,2,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
2,"South","Alabama",13820,43,"Never Married","Female","Master's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"South","Alabama",13820,48,"Never Married","Female","Master's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33660,24,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
2,"South","Alabama",33660,27,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
2,"South","Alabama",13820,52,"Married","Male","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",13820,49,"Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",13820,29,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"South","Alabama",13820,26,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Trade"
1,"South","Alabama",33860,74,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",13820,35,"Never Married","Male","No high school diploma","White",0,57,"Citizen, Native","Unemployed","Leisure and hospitality"
3,"South","Alabama",13820,42,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Unemployed","Trade"
3,"South","Alabama",13820,44,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"South","Alabama",13820,75,"Widowed","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
1,"South","Alabama",33860,54,"Divorced","Female","Associate degree","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",26620,48,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Public administration"
3,"South","Alabama",26620,49,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Public administration"
3,"South","Alabama",26620,21,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
1,"South","Alabama",26620,60,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",13820,41,"Divorced","Female","High school","Black",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",13820,1,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
1,"South","Alabama",13820,53,"Never Married","Male","High school","White",0,57,"Citizen, Native","Unemployed","Trade"
1,"South","Alabama",13820,24,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Other services"
2,"South","Alabama",13820,47,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Construction"
2,"South","Alabama",13820,46,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Mining"
1,"South","Alabama",26620,27,"Never Married","Male","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
1,"South","Alabama",33660,57,"Divorced","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
1,"South","Alabama",13820,34,"Divorced","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
3,"South","Alabama",33660,64,"Widowed","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Construction"
3,"South","Alabama",33660,22,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
3,"South","Alabama",33660,25,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"South","Alabama",26620,37,"Never Married","Male","High school","White",0,216,"Citizen, Naturalized","Not in Labor Force",NA
1,"South","Alabama",26620,40,"Never Married","Female","Some college, no degree","American Indian",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33860,73,"Separated","Male","High school","Black",0,57,"Citizen, Native","Unemployed","Professional and business services"
2,"South","Alabama",33860,56,"Separated","Female","No high school diploma","Black",0,57,"Citizen, Native","Employed","Professional and business services"
2,"South","Alabama",33860,85,"Married","Male","Professional degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,74,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
5,"South","Alabama",33660,26,"Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Employed","Educational and health services"
5,"South","Alabama",33660,28,"Married","Male","High school","Black",0,57,"Citizen, Native","Employed","Professional and business services"
5,"South","Alabama",33660,1,NA,"Male",NA,"Black",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",33660,4,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",33660,7,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",13820,31,"Married","Female","Associate degree","Black",0,57,"Citizen, Native","Employed","Financial"
3,"South","Alabama",13820,25,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Manufacturing"
3,"South","Alabama",13820,6,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
1,"South","Alabama",13820,23,"Never Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Employed","Trade"
1,"South","Alabama",13820,65,"Separated","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
1,"South","Alabama",26620,27,"Divorced","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
1,"South","Alabama",13820,53,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Unemployed","Financial"
2,"South","Alabama",33860,67,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,73,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
1,"South","Alabama",13820,80,"Widowed","Female","Master's degree","Black",0,57,"Citizen, Native","Retired",NA
4,"South","Alabama",26620,26,"Never Married","Female","No high school diploma","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
4,"South","Alabama",26620,3,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",26620,5,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",26620,8,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",26620,57,"Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",26620,54,"Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",26620,22,"Never Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
3,"South","Alabama",33660,49,"Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",33660,62,"Widowed","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",33660,30,"Never Married","Male","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33660,27,"Never Married","Female","Associate degree","Black",0,57,"Citizen, Native","Unemployed","Educational and health services"
2,"South","Alabama",33660,9,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",33860,54,"Married","Female","Associate degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
3,"South","Alabama",33860,53,"Married","Male","High school","Black",0,57,"Citizen, Native","Employed","Professional and business services"
3,"South","Alabama",33860,22,"Never Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",26620,62,"Divorced","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"South","Alabama",26620,45,"Divorced","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"South","Alabama",33860,59,"Married","Female","High school","Black",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33860,61,"Married","Male","High school","Black",0,57,"Citizen, Native","Employed","Transportation and utilities"
2,"South","Alabama",33660,60,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33660,40,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
1,"South","Alabama",13820,80,"Widowed","Female","Associate degree","Black",0,57,"Citizen, Native","Retired",NA
3,"South","Alabama",33860,58,"Married","Male","High school","Asian",0,217,"Non-Citizen","Employed","Manufacturing"
3,"South","Alabama",33860,50,"Married","Female","High school","Asian",0,217,"Non-Citizen","Employed","Leisure and hospitality"
3,"South","Alabama",33860,21,"Separated","Female","Some college, no degree","Asian",0,217,"Non-Citizen","Not in Labor Force",NA
1,"South","Alabama",13820,27,"Never Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Trade"
3,"South","Alabama",13820,34,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Unemployed","Trade"
3,"South","Alabama",13820,6,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",13820,12,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",26620,40,"Married","Male","Doctorate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
3,"South","Alabama",26620,37,"Married","Female","Professional degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
3,"South","Alabama",26620,1,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
2,"South","Alabama",13820,60,"Married","Female","Associate degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",13820,61,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Mining"
3,"South","Alabama",26620,71,"Married","Male","Professional degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
3,"South","Alabama",26620,62,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
3,"South","Alabama",26620,26,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"South","Alabama",13820,34,"Married","Male","High school","White",1,303,"Citizen, Naturalized","Employed","Construction"
2,"South","Alabama",13820,32,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
1,"South","Alabama",33660,27,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Manufacturing"
2,"South","Alabama",26620,31,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"South","Alabama",26620,14,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
1,"South","Alabama",33660,23,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"South","Alabama",33660,76,"Widowed","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
1,"South","Alabama",33860,25,"Never Married","Male","Master's degree","Black",0,57,"Citizen, Native","Employed","Manufacturing"
3,"South","Alabama",26620,35,"Divorced","Male","Some college, no degree","Black",0,341,"Citizen, Naturalized","Employed","Educational and health services"
3,"South","Alabama",26620,32,"Separated","Male","Some college, no degree","Black",0,407,"Non-Citizen","Employed","Educational and health services"
3,"South","Alabama",26620,42,"Separated","Male","Bachelor's degree","Black",0,78,"Citizen, Native","Unemployed","Leisure and hospitality"
2,"South","Alabama",13820,55,"Married","Female","High school","White",0,57,"Citizen, Native","Employed","Trade"
2,"South","Alabama",13820,57,"Married","Male","High school","White",0,57,"Citizen, Native","Employed","Other services"
2,"South","Alabama",13820,79,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Retired",NA
